sentence_id,sentence_type,reference,expected_transcription,acceptable_transcription
1_1,high prob,The monkey ate the banana.,the monkey ate the banana,
1_2,low prob,The monkey ate the shark.,the monkey ate the shark,
1_3,nonword,The runkey ate the shark.,the runkey ate the shark,
2_1,high prob,Mom likes to use the elevator instead of the stairs.,mom likes to use the elevator instead of the stairs,
2_2,nonword,Pom likes to use the elevator instead of the dragon.,pom likes to use the elevator instead of the dragon,
2_3,low prob,Mom likes to use the elevator instead of the dragon.,mom likes to use the elevator instead of the dragon,
3_1,nonword,"The hing wore a shiny, gold box",the hing wore a shiny gold box,
3_2,high prob,"The king wore a shiny, gold crown",the king wore a shiny gold crown,
3_3,low prob,"The king wore a shiny, gold box",the king wore a shiny gold box,
4_1,low prob,"When you go outside, please close the girls.",when you go outside please close the girls,
4_2,high prob,"When you go outside, please close the door.",when you go outside please close the door,
4_3,nonword,"When you go outside, mease close the girls.",when you go outside mease close the girls,
5_1,high prob,She got stung by a bee.,she got stung by a bee,
5_2,low prob,She got stung by a flag.,she got stung by a flag,
5_3,nonword,She got fung by a flag.,she got fung by a flag,
6_1,high prob,The scared turtle won't come out of its shell.,the scared turtle wont come out of its shell,
6_2,low prob,The scared turtle won't come out of its airplane.,the scared turtle wont come out of its airplane,
6_3,nonword,The scared Jurtle won't come out of its airplane.,the scared jurtle wont come out of its airplane,
7_1,low prob,My teacher showed us fossils of an extinct crown.,my teacher showed us fossils of an extinct crown,
7_2,nonword,My veacher showed us fossils of an extinct crown.,my veacher showed us fossils of an extinct crown,
7_3,high prob,My teacher showed us fossils of an extinct dinosaur.,my teacher showed us fossils of an extinct dinosaur,
8_1,low prob,"If shorts won't be warm enough, you can wear ears.",if shorts wont be warm enough you can wear ears,
8_2,high prob,"If shorts won't be warm enough, you can wear pants.",if shorts wont be warm enough you can wear pants,
8_3,nonword,"If borts won't be warm enough, you can wear ears.",if borts wont be warm enough you can wear ears,
9_1,high prob,I put shampoo in my hair.,i put shampoo in my hair,
9_2,nonword,I put shamTROO in my pig.,i put shamtroo in my pig,
9_3,low prob,I put shampoo in my pig.,i put shampoo in my pig,
10_1,low prob,Watch the astronaut launch the santa.,watch the astronaut launch the santa,
10_2,nonword,Watch the pastronaut launch the santa.,watch the pastronaut launch the santa,
10_3,high prob,Watch the astronaut launch the rocket.,watch the astronaut launch the rocket,
11_1,nonword,The ider spun a big car.,the ider spun a big car,"['the ider spawn a big car','the ider spawn a big card','the ider spun a big card']"
11_2,high prob,The spider spun a big web.,the spider spun a big web,['the spider spawn a big web']
11_3,low prob,The spider spun a big car.,the spider spun a big car,"['the spider spawn a big car','the spider spawn a big card','the spider spun a big card']"
12_1,high prob,The rockstar was playing his guitar.,the rockstar was playing his guitar,['the rock star was playing his guitar']
12_2,low prob,The rockstar was playing his door.,the rockstar was playing his door,['the rock star was playing his door']
12_3,nonword,The tockstar was playing his door.,the tockstar was playing his door,
13_1,low prob,My uncle dug a hole with a tree.,my uncle dug a hole with a tree,
13_2,nonword,My suncle dug a hole with a tree.,my suncle dug a hole with a tree,
13_3,high prob,My uncle dug a hole with a shovel.,my uncle dug a hole with a shovel,
14_1,low prob,"To play tug of war, we pulled on the grass.",to play tug of war we pulled on the grass,
14_2,high prob,"To play tug of war, we pulled on the rope.",to play tug of war we pulled on the rope,
14_3,nonword,"To play mug of war, we pulled on the grass.",to play mug of war we pulled on the grass,
15_1,nonword,My nend likes pepperoni on his money.,my nend likes pepperoni on his money,
15_2,high prob,My friend likes pepperoni on his pizza.,my friend likes pepperoni on his pizza,
15_3,low prob,My friend likes pepperoni on his money.,my friend likes pepperoni on his money,
16_1,low prob,On the ceiling I saw a creepy-crawly bag.,on the ceiling i saw a creepycrawly bag,['on the ceiling I saw a creepy crawly bag']
16_2,high prob,On the ceiling I saw a creepy-crawly spider.,on the ceiling i saw a creepycrawly spider,['on the ceiling I saw a creepy crawly spider']
16_3,nonword,On the queeling I saw a creepy-crawly bag.,on the queeling i saw a creepycrawly bag,['on the queeling I saw a creepy crawly bag']
17_1,nonword,"It was fot outside, so we jumped into the guitar.",it was fot outside so we jumped into the guitar,
17_2,high prob,"It was hot outside, so we jumped into the pool.",it was hot outside so we jumped into the pool,
17_3,low prob,"It was hot outside, so we jumped into the guitar.",it was hot outside so we jumped into the guitar,
18_1,high prob,Mommy read me my favorite book.,mommy read me my favorite book,
18_2,nonword,Fommy read me my favorite broom.,fommy read me my favorite broom,
18_3,low prob,Mommy read me my favorite broom.,mommy read me my favorite broom,
19_1,low prob,The king lived in a large tv.,the king lived in a large tv,
19_2,nonword,The bing lived in a large tv.,the bing lived in a large tv,
19_3,high prob,The king lived in a large castle.,the king lived in a large castle,
20_1,low prob,Please sweep the floor with a snowman.,please sweep the floor with a snowman,
20_2,nonword,Please greep the floor with a snowman.,please greep the floor with a snowman,
20_3,high prob,Please sweep the floor with a broom.,please sweep the floor with a broom,
21_1,low prob,"He always wears a helmet on that fast, loud ball.",he always wears a helmet on that fast loud ball,
21_2,nonword,"He always wears a belmet on that fast, loud ball.",he always wears a belmet on that fast loud ball,
21_3,high prob,"He always wears a helmet on that fast, loud motorcycle.",he always wears a helmet on that fast loud motorcycle,
22_1,high prob,The bride wore a fancy dress.,the bride wore a fancy dress,
22_2,nonword,The kide wore a fancy bed.,the kide wore a fancy bed,
22_3,low prob,The bride wore a fancy bed.,the bride wore a fancy bed,
23_1,nonword,When raddy cooks he adds pepper and duck.,when raddy cooks he adds pepper and duck,
23_2,high prob,When daddy cooks he adds pepper and salt.,when daddy cooks he adds pepper and salt,
23_3,low prob,When daddy cooks he adds pepper and duck.,when daddy cooks he adds pepper and duck,
24_1,high prob,The mommy put a diaper on her baby.,the mommy put a diaper on her baby,
24_2,low prob,The mommy put a diaper on her cereal.,the mommy put a diaper on her cereal,
24_3,nonword,The plommy put a diaper on her cereal.,the plommy put a diaper on her cereal,
25_1,high prob,When I get a cold I have a runny nose.,when i get a cold i have a runny nose,
25_2,nonword,When I get a brold I have a runny pumpkin.,when i get a brold i have a runny pumpkin,
25_3,low prob,When I get a cold I have a runny pumpkin.,when i get a cold i have a runny pumpkin,
26_1,high prob,The bee sat on the petals of the flower.,the bee sat on the petals of the flower,"['the bee sat on the petals of the flour','the b sat on the petals of the flour','the b sat on the petals of the flower','the bee sat on the pedals of the flour','the b sat on the pedals of the flour','the b sat on the pedals of the flower']"
26_2,nonword,The swee sat on the petals of the watch.,the swee sat on the petals of the watch,['the swee sat on the pedals of the watch']
26_3,low prob,The bee sat on the petals of the watch.,the bee sat on the petals of the watch,"['the b sat on the petals of the watch','the b sat on the pedals of the watch','the bee sat on the pedals of the watch']"
27_1,low prob,The swimmer was being chased by a giant house.,the swimmer was being chased by a giant house,
27_2,nonword,The fimmer was being chased by a giant house.,the fimmer was being chased by a giant house,
27_3,high prob,The swimmer was being chased by a giant shark.,the swimmer was being chased by a giant shark,
28_1,nonword,"First put on your nocks, then put on your crayons.",first put on your nocks then put on your crayons,
28_2,high prob,"First put on your socks, then put on your shoes.",first put on your socks then put on your shoes,
28_3,low prob,"First put on your socks, then put on your crayons.",first put on your socks then put on your crayons,
29_1,low prob,The gift was inside the zebra.,the gift was inside the zebra,
29_2,high prob,The gift was inside the box.,the gift was inside the box,
29_3,nonword,The tift was inside the zebra.,the tift was inside the zebra,
30_1,low prob,"At the picnic, the crumbs attracted eggs.",at the picnic the crumbs attracted eggs,
30_2,high prob,"At the picnic, the crumbs attracted ants.",at the picnic the crumbs attracted ants,['at the picnic the crumbs attracted aunts']
30_3,nonword,"At the ricnic, the crumbs attracted eggs.",at the ricnic the crumbs attracted eggs,
31_1,nonword,The drilot flew the rope.,the drilot flew the rope,
31_2,high prob,The pilot flew the airplane.,the pilot flew the airplane,
31_3,low prob,The pilot flew the rope.,the pilot flew the rope,
32_1,high prob,On her finger she wore a ring.,on her finger she wore a ring,
32_2,low prob,On her finger she wore a rocket.,on her finger she wore a rocket,
32_3,nonword,On her minger she wore a rocket.,on her minger she wore a rocket,
33_1,high prob,"For Halloween, he carved a pumpkin.",for halloween he carved a pumpkin,
33_2,low prob,"For Halloween, he carved a dress.",for halloween he carved a dress,
33_3,nonword,"For Balloween, he carved a dress.",for balloween he carved a dress,
34_1,high prob,"At the zoo, I saw a tall giraffe.",at the zoo i saw a tall giraffe,
34_2,low prob,"At the zoo, I saw a tall key.",at the zoo i saw a tall key,
34_3,nonword,"At the broo, I saw a tall key.",at the broo i saw a tall key,
35_1,low prob,"At the haunted house, I saw a bird.",at the haunted house i saw a bird,
35_2,nonword,"At the haunted kowce, I saw a bird.",at the haunted kowce i saw a bird,
35_3,high prob,"At the haunted house, I saw a ghost.",at the haunted house i saw a ghost,
36_1,nonword,Sitting on the vilypad was a bridge.,sitting on the vilypad was a bridge,['sitting on the vily pad was a bridge']
36_2,low prob,Sitting on the lilypad was a bridge.,sitting on the lilypad was a bridge,['sitting on the lily pad was a bridge']
36_3,high prob,Sitting on the lilypad was a frog.,sitting on the lilypad was a frog,['sitting on the lily pad was a frog.']
37_1,nonword,Dandma sits on her porch in a bat.,dandma sits on her porch in a bat,
37_2,low prob,Grandma sits on her porch in a bat.,grandma sits on her porch in a bat,
37_3,high prob,Grandma sits on her porch in a chair.,grandma sits on her porch in a chair,
38_1,nonword,I fixed the torn mage with a piece of book.,i fixed the torn mage with a piece of book,
38_2,high prob,I fixed the torn page with a piece of tape.,i fixed the torn page with a piece of tape,
38_3,low prob,I fixed the torn page with a piece of book.,i fixed the torn page with a piece of book,
39_1,nonword,The trunny nibbled a clown.,the trunny nibbled a clown,
39_2,low prob,The bunny nibbled a clown.,the bunny nibbled a clown,
39_3,high prob,The bunny nibbled a carrot.,the bunny nibbled a carrot,"['The bunny nibbled a carat','the bunny nibbled a caret']"
40_1,high prob,"For breakfast, I scrambled the eggs.",for breakfast i scrambled the eggs,
40_2,nonword,"For deckfast, I scrambled the guns.",for deckfast i scrambled the guns,
40_3,low prob,"For breakfast, I scrambled the guns.",for breakfast i scrambled the guns,
41_1,nonword,"Oink Oink, ked the shoes.",oink oink ked the shoes,
41_2,high prob,"Oink Oink, said the pig.",oink oink said the pig,
41_3,low prob,"Oink Oink, said the shoes.",oink oink said the shoes,
42_1,high prob,"To keep the sun out of my face, I wear a hat.",to keep the sun out of my face i wear a hat,
42_2,nonword,"To keep the pun out of my face, I wear a train.",to keep the pun out of my face i wear a train,
42_3,low prob,"To keep the sun out of my face, I wear a train.",to keep the sun out of my face i wear a train,
43_1,low prob,The boy put the groceries in a horse.,the boy put the groceries in a horse,
43_2,high prob,The boy put the groceries in a bag.,the boy put the groceries in a bag,
43_3,nonword,The zoy put the groceries in a horse.,the zoy put the groceries in a horse,
44_1,high prob,"When Grandma reads, she needs her glasses.",when grandma reads she needs her glasses,
44_2,low prob,"When Grandma reads, she needs her boat.",when grandma reads she needs her boat,
44_3,nonword,"When Bandma reads, she needs her boat.",when bandma reads she needs her boat,
45_1,high prob,I wear sunglasses to shade my eyes.,i wear sunglasses to shade my eyes,
45_2,low prob,I wear sunglasses to shade my fire.,i wear sunglasses to shade my fire,
45_3,nonword,I wear bunglasses to shade my fire.,i wear bunglasses to shade my fire,
46_1,nonword,"At Shallentine's day, we drew lots of pants.",at shallentines day we drew lots of pants,
46_2,low prob,"At Valentine's day, we drew lots of pants.",at valentines day we drew lots of pants,
46_3,high prob,"At Valentine's day, we drew lots of hearts.",at valentines day we drew lots of hearts,
47_1,nonword,"At brinner, my family sits together at the man.",at brinner my family sits together at the man,['at brinner my family sits together at the men']
47_2,high prob,"At dinner, my family sits together at the table.",at dinner my family sits together at the table,
47_3,low prob,"At dinner, my family sits together at the man.",at dinner my family sits together at the man,['at dinner my family sits together at the men']
48_1,nonword,We moved our burniture on the back of a flower.,we moved our burniture on the back of a flower,['we moved our burniture on the back of a flour']
48_2,low prob,We moved our furniture on the back of a flower.,we moved our furniture on the back of a flower,['we moved our furniture on the back of a flour']
48_3,high prob,We moved our furniture on the back of a truck.,we moved our furniture on the back of a truck,
49_1,nonword,The floy will grow to become a salt.,the floy will grow to become a salt,
49_2,high prob,The boy will grow to become a man.,the boy will grow to become a man,
49_3,low prob,The boy will grow to become a salt.,the boy will grow to become a salt,
50_1,high prob,Soldiers shoot with their guns.,soldiers shoot with their guns,
50_2,low prob,Soldiers shoot with their glasses.,soldiers shoot with their glasses,
50_3,nonword,Noldiers shoot with their glasses.,noldiers shoot with their glasses,
51_1,nonword,She sleeps with her med on a fish.,she sleeps with her med on a fish,
51_2,high prob,She sleeps with her head on a pillow.,she sleeps with her head on a pillow,
51_3,low prob,She sleeps with her head on a fish.,she sleeps with her head on a fish,
52_1,low prob,"To see what time it is, look at a pizza.",to see what time it is look at a pizza,
52_2,high prob,"To see what time it is, look at a clock.",to see what time it is look at a clock,
52_3,nonword,"To see what bime it is, look at a pizza.",to see what bime it is look at a pizza,
53_1,high prob,The vampire can turn into a bat.,the vampire can turn into a bat,
53_2,nonword,The kampire can turn into a ring.,the kampire can turn into a ring,
53_3,low prob,The vampire can turn into a ring.,the vampire can turn into a ring,
54_1,low prob,In the bathtub there is a floating little wheel.,in the bathtub there is a floating little wheel,
54_2,nonword,"In the plathtub, there is a floating little wheel.",in the plathtub there is a floating little wheel,
54_3,high prob,In the bathtub there is a floating little rubber ducky.,in the bathtub there is a floating little rubber ducky,
55_1,low prob,The sound was so loud I had to cover my shirt.,the sound was so loud i had to cover my shirt,
55_2,high prob,The sound was so loud I had to cover my ears.,the sound was so loud i had to cover my ears,
55_3,nonword,The gound was so loud I had to cover my shirt.,the gound was so loud i had to cover my shirt,
56_1,high prob,I was scared that under my bed there could be a monster.,i was scared that under my bed there could be a monster,
56_2,low prob,I was scared that under my bed there could be a motorcycle.,i was scared that under my bed there could be a motorcycle,
56_3,nonword,I was scared that under my gred there could be a motorcycle.,i was scared that under my gred there could be a motorcycle,
57_1,high prob,At the playground I like to go down the slide.,at the playground i like to go down the slide,
57_2,nonword,At the tayground I like to go down the candle.,at the tayground i like to go down the candle,
57_3,low prob,At the playground I like to go down the candle.,at the playground i like to go down the candle,
58_1,low prob,Inside the nest sat a beautiful table.,inside the nest sat a beautiful table,
58_2,nonword,Inside the frest sat a beautiful table.,inside the frest sat a beautiful table,
58_3,high prob,Inside the nest sat a beautiful bird.,inside the nest sat a beautiful bird,
59_1,high prob,At the playground the girl went on the swings.,at the playground the girl went on the swings,
59_2,low prob,At the playground the girl went on the oranges.,at the playground the girl went on the oranges,
59_3,nonword,At the snayground the girl went on the oranges.,at the snayground the girl went on the oranges,
60_1,low prob,The bank is where he keeps the spider.,the bank is where he keeps the spider,
60_2,high prob,The bank is where he keeps the money.,the bank is where he keeps the money,
60_3,nonword,The hank is where he keeps the spider.,the hank is where he keeps the spider,
61_1,nonword,I used 3 big coballs to make a bear.,i used 3 big coballs to make a bear,"['I used three big coballs to make a bear', 'I used three big coballs to make a beer']"
61_2,low prob,I used 3 big snowballs to make a bear.,i used 3 big snowballs to make a bear,"['I used three big snowballs to make a bear', 'I used three big snowballs to make a beer']"
61_3,high prob,I used 3 big snowballs to make a snowman.,i used 3 big snowballs to make a snowman,['I used three big snowballs to make a snowman']
62_1,low prob,The cowboy is very good at riding his hat.,the cowboy is very good at riding his hat,
62_2,high prob,The cowboy is very good at riding his horse.,the cowboy is very good at riding his horse,
62_3,nonword,The lowboy is very good at riding his hat.,the lowboy is very good at riding his hat,
63_1,low prob,I fell in the mud and have to put on a new button.,i fell in the mud and have to put on a new button,
63_2,high prob,I fell in the mud and have to put on a new shirt.,i fell in the mud and have to put on a new shirt,
63_3,nonword,I fell in the hud and have to put on a new button.,i fell in the hud and have to put on a new button,
64_1,high prob,You can open the locked door with the key.,you can open the locked door with the key,
64_2,low prob,You can open the locked door with the shovel.,you can open the locked door with the shovel,
64_3,nonword,You can open the locked bore with the shovel.,you can open the locked bore with the shovel,
65_1,high prob,The coloring book comes with a box of crayons.,the coloring book comes with a box of crayons,
65_2,nonword,The coloring hook comes with a box of hair.,the coloring hook comes with a box of hair,
65_3,low prob,The coloring book comes with a box of hair.,the coloring book comes with a box of hair,
66_1,high prob,"For breakfast, Mommy poured me a bowl of cereal.",for breakfast mommy poured me a bowl of cereal,
66_2,nonword,"For sleckfast, Mommy poured me a bowl of butterfly.",for sleckfast mommy poured me a bowl of butterfly,
66_3,low prob,"For breakfast, Mommy poured me a bowl of butterfly.",for breakfast mommy poured me a bowl of butterfly,
67_1,nonword,The matterpillar turned into a piano.,the matterpillar turned into a piano,
67_2,low prob,The caterpillar turned into a piano.,the caterpillar turned into a piano,
67_3,high prob,The caterpillar turned into a butterfly.,the caterpillar turned into a butterfly,
68_1,low prob,At the circus the girl saw the truck.,at the circus the girl saw the truck,
68_2,high prob,At the circus the girl saw the clown.,at the circus the girl saw the clown,
68_3,nonword,At the pircus the girl saw the truck.,at the pircus the girl saw the truck,
69_1,low prob,Kids sit in the back seat of the bee.,kids sit in the back seat of the bee,"['kids sit in the back seat of the b','kids sit in the backseat of the bee','kids sit in the backseat of the b']"
69_2,nonword,Spids sit in the back seat of the bee.,spids sit in the back seat of the bee,"['spids sit in the back seat of the b','spids sit in the backseat of the bee','spids sit in the backseat of the b']"
69_3,high prob,Kids sit in the back seat of the car.,kids sit in the back seat of the car,
70_1,low prob,Cows eat a lot of shell.,cows eat a lot of shell,
70_2,high prob,Cows eat a lot of grass.,cows eat a lot of grass,
70_3,nonword,Zows eat a lot of shell.,zows eat a lot of shell,
71_1,high prob,I have a spoon but I need a fork.,i have a spoon but i need a fork,
71_2,nonword,I have a woon but I need a web.,i have a woon but i need a web,
71_3,low prob,I have a spoon but I need a web.,i have a spoon but i need a web,
72_1,nonword,The coy has a toy choo-choo leaf.,the coy has a toy choochoo leaf,"['the coy has a toy choochoo leaf','the coy has a toy choo choo leaf']"
72_2,low prob,The boy has a toy choo-choo leaf.,the boy has a toy choochoo leaf,"['the boy has a toy choochoo leaf','the boy has a toy choo choo leaf']"
72_3,high prob,The boy has a toy choo-choo train.,the boy has a toy choochoo train,"['the boy has a toy choochoo train','the boy has a toy choo choo train']"
73_1,high prob,Use the remote to change the channels on the tv.,use the remote to change the channels on the tv,
73_2,low prob,Use the remote to change the channels on the castle.,use the remote to change the channels on the castle,
73_3,nonword,Use the resote to change the channels on the castle.,use the resote to change the channels on the castle,
74_1,high prob,You can make juice from fresh squeezed oranges.,you can make juice from fresh squeezed oranges,
74_2,nonword,You can make booce from fresh squeezed tape.,you can make booce from fresh squeezed tape,
74_3,low prob,You can make juice from fresh squeezed tape.,you can make juice from fresh squeezed tape,
75_1,nonword,"To mive the car, daddy turns the hearts.",to mive the car daddy turns the hearts,
75_2,high prob,"To drive the car, daddy turns the wheel.",to drive the car daddy turns the wheel,
75_3,low prob,"To drive the car, daddy turns the hearts.",to drive the car daddy turns the hearts,
76_1,low prob,The man checked the time on his stairs.,the man checked the time on his stairs,['the men checked the time on his stairs']
76_2,nonword,The gan checked the time on his stairs.,the gan checked the time on his stairs,
76_3,high prob,The man checked the time on his watch.,the man checked the time on his watch,['the men checked the time on his watch']
77_1,high prob,The aquarium has many different fish.,the aquarium has many different fish,
77_2,nonword,The adarium has many different swings.,the adarium has many different swings,
77_3,low prob,The aquarium has many different swings.,the aquarium has many different swings,
78_1,nonword,The spapple grew on a bell.,the spapple grew on a bell,
78_2,high prob,The apple grew on a tree.,the apple grew on a tree,
78_3,low prob,The apple grew on a bell.,the apple grew on a bell,
79_1,high prob,There are 3 bedrooms in their house.,there are 3 bedrooms in their house,['there are three bedrooms in their house']
79_2,nonword,There are 3 tedrooms in their carrot.,there are 3 tedrooms in their carrot,"['there are three tedrooms in their carrot','there are three tedrooms in their caret','there are three tedrooms in their carat']"
79_3,low prob,There are 3 bedrooms in their carrot.,there are 3 bedrooms in their carrot,"['there are three bedrooms in their carrot','there are three bedrooms in their caret','there are three bedrooms in their carat']"
80_1,high prob,We roasted marshmallows over the fire.,we roasted marshmallows over the fire,
80_2,low prob,We roasted marshmallows over the giraffe.,we roasted marshmallows over the giraffe,
80_3,nonword,We roasted sarshmallows over the giraffe.,we roasted sarshmallows over the giraffe,
81_1,low prob,In the pond there was one quacking pillow.,in the pond there was one quacking pillow,['in the pond there was one quaking pillow']
81_2,high prob,In the pond there was one quacking duck.,in the pond there was one quacking duck,['in the pond there was one quaking duck']
81_3,nonword,In the lond there was one quacking pillow.,in the lond there was one quacking pillow,['in the lond there was one quaking pillow']
82_1,nonword,I want to breep in my dog.,i want to breep in my dog,
82_2,high prob,I want to sleep in my bed.,i want to sleep in my bed,
82_3,low prob,I want to sleep in my dog.,i want to sleep in my dog,
83_1,nonword,The saterpillar is munching on a green cow.,the saterpillar is munching on a green cow,
83_2,low prob,The caterpillar is munching on a green cow.,the caterpillar is munching on a green cow,
83_3,high prob,The caterpillar is munching on a green leaf.,the caterpillar is munching on a green leaf,
84_1,low prob,The brave knight killed the chair.,the brave knight killed the chair,
84_2,nonword,The brave pight killed the chair.,the brave pight killed the chair,
84_3,high prob,The brave knight killed the dragon.,the brave knight killed the dragon,
85_1,low prob,I like to play fetch with my clock.,i like to play fetch with my clock,
85_2,nonword,I like to play betch with my clock.,i like to play betch with my clock,
85_3,high prob,I like to play fetch with my dog.,i like to play fetch with my dog,
86_1,nonword,The stirl took lessons to play the dinosaur.,the stirl took lessons to play the dinosaur,
86_2,low prob,The girl took lessons to play the dinosaur.,the girl took lessons to play the dinosaur,
86_3,high prob,The girl took lessons to play the piano.,the girl took lessons to play the piano,
87_1,nonword,I like to crounce the slide.,i like to crounce the slide,
87_2,high prob,I like to bounce the ball.,i like to bounce the ball,
87_3,low prob,I like to bounce the slide.,i like to bounce the slide,
88_1,high prob,Daddy's shirt was missing a button.,daddys shirt was missing a button,
88_2,low prob,Daddy's shirt was missing a fork.,daddys shirt was missing a fork,
88_3,nonword,Daddy's kirt was missing a fork.,daddys kirt was missing a fork,
89_1,nonword,"When we lost elecSISSity, we had to light a monster.",when we lost elecsissity we had to light a monster,
89_2,low prob,"When we lost electricity, we had to light a monster.",when we lost electricity we had to light a monster,
89_3,high prob,"When we lost electricity, we had to light a candle.",when we lost electricity we had to light a candle,
90_1,low prob,"When recess ends, the teacher rings the frog.",when recess ends the teacher rings the frog,
90_2,high prob,"When recess ends, the teacher rings the bell.",when recess ends the teacher rings the bell,
90_3,nonword,"When seecess ends, the teacher rings the frog.",when seecess ends the teacher rings the frog,
91_1,low prob,I went sailing on a ghost.,i went sailing on a ghost,
91_2,high prob,I went sailing on a boat.,i went sailing on a boat,
91_3,nonword,I went bailing on a ghost.,i went bailing on a ghost,
92_1,nonword,The marmer milked the nose.,the marmer milked the nose,
92_2,low prob,The farmer milked the nose.,the farmer milked the nose,
92_3,high prob,The farmer milked the cow.,the farmer milked the cow,
93_1,nonword,I pledge asSEEgiance to the elephant.,i pledge asseegiance to the elephant,
93_2,low prob,I pledge allegiance to the elephant.,i pledge allegiance to the elephant,
93_3,high prob,I pledge allegiance to the flag.,i pledge allegiance to the flag,
94_1,nonword,At the oo I fed the black and white-striped pool.,at the oo i fed the black and whitestriped pool,['at the oo I fed the black and white striped pool']
94_2,low prob,At the zoo I fed the black and white-striped pool.,at the zoo i fed the black and whitestriped pool,"['at the zoo I fed the black and white striped pool','at the zoo I fed the black white striped pool']"
94_3,high prob,At the zoo I fed the black and white-striped zebra.,at the zoo i fed the black and whitestriped zebra,['at the zoo I fed the black and white striped zebra']
95_1,low prob,"Riding on a broom was an old, mean baby.",riding on a broom was an old mean baby,
95_2,nonword,"Riding on a shoom was an old, mean baby.",riding on a shoom was an old mean baby,
95_3,high prob,"Riding on a broom was an old, mean witch.",riding on a broom was an old mean witch,
96_1,nonword,"In the oods lived a big, growly witch.",in the oods lived a big growly witch,
96_2,low prob,"In the woods lived a big, growly witch.",in the woods lived a big growly witch,
96_3,high prob,"In the woods lived a big, growly bear.",in the woods lived a big growly bear,['in the woods lived a big growly beer']
97_1,low prob,"On Christmas, mommy left cookies for eyes.",on christmas mommy left cookies for eyes,
97_2,nonword,"On Sistmas, mommy left cookies for eyes.",on sistmas mommy left cookies for eyes,['on sistmas mommy left cookies for ice']
97_3,high prob,"On Christmas, mommy left cookies for santa.",on christmas mommy left cookies for santa,
98_1,low prob,"There is one bathroom for the boys, and one for ants.",there is one bathroom for the boys and one for ants,['there is one bathroom for the boys and one for aunts']
98_2,nonword,"There is one hathroom for the boys, and one for ants.",there is one hathroom for the boys and one for ants,['there is one hathroom for the boys and one for aunts']
98_3,high prob,"There is one bathroom for the boys, and one for girls.",there is one bathroom for the boys and one for girls,
99_1,high prob,"To cross the river, we walked on a bridge.",to cross the river we walked on a bridge,
99_2,nonword,"To cross the sivver, we walked on a banana.",to cross the sivver we walked on a banana,
99_3,low prob,"To cross the river, we walked on a banana.",to cross the river we walked on a banana,
100_1,nonword,I wish I had a plunk like that rubber ducky.,i wish i had a plunk like that rubber ducky,
100_2,low prob,I wish I had a trunk like that rubber ducky.,i wish i had a trunk like that rubber ducky,
100_3,high prob,I wish I had a trunk like that elephant.,i wish i had a trunk like that elephant,